DATA INICIAL,DATA FINAL,REGIAO,ESTADOS,PRODUTO,NÚMERO DE POSTOS PESQUISADOS,UNIDADE DE MEDIDA,PREÇO MÉDIO REVENDA,DESVIO PADRÃO REVENDA,PREÇO MÍNIMO REVENDA,PREÇO MÁXIMO REVENDA,COEF DE VARIAÇÃO REVENDA
2022-08-07 00:00:00,2022-08-13 00:00:00,NORTE,RONDONIA,OLEO DIESEL S10,66,R$/l,7.67,0.22595010898039364,7.14,8.34,0.029443345461399047
2022-08-07 00:00:00,2022-08-13 00:00:00,NORTE,RORAIMA,OLEO DIESEL S10,13,R$/l,7.69,0.06473813127535914,7.64,7.89,0.008419324795714977
2022-08-07 00:00:00,2022-08-13 00:00:00,SUL,SANTA CATARINA,OLEO DIESEL S10,181,R$/l,7.21,0.29630811479780245,5.46,7.99,0.04108158910337652
2022-08-07 00:00:00,2022-08-13 00:00:00,NORDESTE,SERGIPE,OLEO DIESEL S10,45,R$/l,6.92,0.24086921720713886,6.6,7.49,0.03481466807600893
2022-08-07 00:00:00,2022-08-13 00:00:00,SUDESTE,SAO PAULO,OLEO DIESEL S10,1180,R$/l,7.33,0.2990607099105743,6.29,9,0.04078324052520673
2022-08-07 00:00:00,2022-08-13 00:00:00,NORTE,TOCANTINS,OLEO DIESEL S10,35,R$/l,7.24,0.2719747269524143,6.69,7.79,0.03759373398659074
2022-08-07 00:00:00,2022-08-13 00:00:00,NORDESTE,ALAGOAS,GNV,8,R$/m³,4.55,0.26351673842200507,4.55,5.3,0.05791576668615496
2022-08-07 00:00:00,2022-08-13 00:00:00,NORTE,AMAZONAS,GNV,3,R$/m³,3.99,0,3.99,3.99,0
2022-08-07 00:00:00,2022-08-13 00:00:00,NORDESTE,BAHIA,GNV,27,R$/m³,4.48,0.05198071086464968,4.41,4.69,0.011602108385128427
2022-08-07 00:00:00,2022-08-13 00:00:00,NORDESTE,CEARA,GNV,14,R$/m³,5.33,0.07549106635159594,5.24,5.39,0.014171023450286178
2022-08-07 00:00:00,2022-08-13 00:00:00,CENTRO OESTE,DISTRITO FEDERAL,GNV,1,R$/m³,6.42,-,6.42,6.42,-
2022-08-07 00:00:00,2022-08-13 00:00:00,SUDESTE,ESPIRITO SANTO,GNV,16,R$/m³,5.06,0.07601217007821834,4.899,5.149,0.01503421870621637
2022-08-07 00:00:00,2022-08-13 00:00:00,CENTRO OESTE,MATO GROSSO,GNV,3,R$/m³,3.19,0.005773502691896135,3.18,3.19,0.0018112949621634934
2022-08-07 00:00:00,2022-08-13 00:00:00,CENTRO OESTE,MATO GROSSO DO SUL,GNV,4,R$/m³,4.93,0.07320063751999276,4.85,4.99,0.01485553272856271
2022-08-07 00:00:00,2022-08-13 00:00:00,SUDESTE,MINAS GERAIS,GNV,11,R$/m³,5.44,0.15087020309464094,5.22,5.59,0.027726126692431814
2022-08-07 00:00:00,2022-08-13 00:00:00,SUL,PARANA,GNV,5,R$/m³,5.94,0.041833001326704054,5.89,5.99,0.007042592815943443
2022-08-07 00:00:00,2022-08-13 00:00:00,NORDESTE,PARAIBA,GNV,10,R$/m³,5.11,0.1729515025150755,4.95,5.39,0.03383771196276313
